player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr,rank_confidence
criminal animal,7722.0,['Crime Time'],27,True,8000.0,0.27
TheSmallNut,7714.08,"['Sounding Club', 'Ensō', 'Sunlight Covenant']",32,True,8000.0,0.32
Merk 13,7697.89,"['Does This Game have Fall Damage?', 'dXo-Heroic - Mantle of Midas', 'Nat 20']",44,True,8000.0,0.44
mode: that brother needs help,7690.51,"['TEAM POLAND', 'Garrett and Friends', 'Wasted Sad & Suicidal', 'Wasted.Creature']",60,True,7400.0,0.6
BokChoyBitch,7682.92,"['Jason Vas Foundation Picks for the Cure', 'Max Retaliate']",23,True,8000.0,0.23
ok,7676.17,"['The Whimsical Afrasians', 'GOOD TWINK HUNTING', 'Twinks and The Twinker', ""WoT's Sounding Club"", 'Waist of Time', 'Daggers in my coco']",52,True,8000.0,0.52
Sixty Two Cents,7675.48,"['Northern Hog Suckers', 'Soy Sauce: Revolution']",54,True,8000.0,0.54
t.tv/shattovv,7671.3,['beignet boys'],22,True,8000.0,0.22
Lord Luci,7659.05,"['Heroes of Golf?', 'Rektal Damage', '#Packwatch', 'Sounding Club']",52,True,8000.0,0.52
green dragon bot,7657.86,"['Heroes of Golf?', 'Waist Of Time', ""Brit I'm a Dog, Woof! Brrr"", 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Ensō', 'Helmets On', 'Gucci God', 'Waist of Time', 'Golf Tuesday?', 'Daggers in my coco', 'Go play offlane', '7dark Thirty']",123,True,8000.0,1.0
Tokc,7657.06,"['Wasted Sad & Suicidal', 'Wasted.Creature', 'Wasted with Clare in the Finals', 'We Scale Late ', 'Garrett and Friends']",76,True,8000.0,0.76
HULK,7650.52,"['We Scale Late ', 'Wasted with Clare in the Finals', 'Wasted.Creature']",52,True,8000.0,0.52
mafjetz,7649.28,['GRIN Scythe'],22,True,8000.0,0.22
ScurvyDog,7646.6,"['New Rebellion', 'Cinco De Mayo', 'Waist of Time', 'Daggers in my coco', 'WAKANDA MADE IN CHYNA']",46,True,8000.0,0.46
Panda,7646.57,"['Heroes of Golf?', ""Brit I'm a Dog, Woof! Brrr"", 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Sounding Club', ""WoT's Sounding Club"", 'Golf Tuesday?', 'Daggers in my coco', 'Team Tidehunter', 'Go play offlane']",88,True,8000.0,0.88
jelly,7641.77,"['Twinks and The Twinker', 'Los Animales de Golf?', 'Coked up (cute) Kobolds', 'GOOD TWINK HUNTING']",59,True,8000.0,0.59
smack,7640.69,"['Wasted Sad & Suicidal', 'TEAM POLAND', 'Wasted with Clare in the Finals', 'Team Tidehunter', 'Garrett and Friends']",71,True,8000.0,0.71
Clare: Reloaded,7629.9,"['Wasted Sad & Suicidal', 'Wasted.Creature']",64,True,7400.0,0.64
SaulGinnis,7629.09,"['Wasted Sad & Suicidal', 'Wasted.Creature', 'Wasted with Clare in the Finals', 'We Scale Late ', 'Garrett and Friends']",77,True,7500.0,0.77
Antivirus,7625.82,"['Does This Game have Fall Damage?', 'Emotional Damage']",30,True,8000.0,0.3
Jax,7620.54,"['Scion and the 4 plebs', 'good for ducks, good for me']",37,True,8000.0,0.37
bombogenesis day,7616.07,"['Wasted.Creature', 'Wasted with Clare in the Finals', 'Foebe Phighters', 'We Scale Late ', 'Garrett and Friends']",64,True,7400.0,0.64
Bagged Milk,7614.81,"['Baja Blasters', 'beignet boys']",27,True,8000.0,0.27
Banach,7614.42,"['Heroes of Golf?', ""Brit I'm a Dog, Woof! Brrr"", 'Golf Monday?', 'Twinks and The Twinker', 'Golf Tuesday?']",80,True,6500.0,0.8
de la Heeba,7610.03,['Jukes Angels'],25,True,8000.0,0.25
ol' stinky,7606.29,"[""Daddy's ENGORGED Dictatorship"", 'sheeesh']",21,True,8000.0,0.21
˚+˚+˚+˚+˚+˚,7595.72,['Dually Truck Hentai Warriors'],21,True,8000.0,0.21
h!,7592.48,['Wasted.Creature'],22,True,7500.0,0.22
Shamuraii,7591.35,"['Heroes of Golf?', 'Team Tidehunter', 'Highly Regarded Individuals', 'Plinks of Golf?']",79,True,8000.0,0.79
